==24446== NVPROF is profiling process 24446, command: python manual_torch.py gpu 32
/home/oguzziya/miniconda3/envs/phiflow-py36/lib/python3.6/site-packages/phi/viz/display.py:80: UserWarning: GUI is disabled because of missing dependencies: No module named 'dash_core_components'. To install all dependencies, run $ pip install phiflow[gui]
  warnings.warn('GUI is disabled because of missing dependencies: %s. To install all dependencies, run $ pip install phiflow[gui]' % import_error)
==24446== Profiling application: python manual_torch.py gpu 32
==24446== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
2.52150s  1.3440us                    -               -         -         -         -  4.0000KB  2.8383GB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
2.70895s  3.8720us              (1 1 1)       (32 32 1)        23        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::initialize_data2d$241(Array<float, int=4, C, mutable, aligned>, __int64) [158]
2.70911s     608ns                    -               -         -         -         -       16B  25.097MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
2.70917s     544ns                    -               -         -         -         -       16B  28.049MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
2.70922s     576ns                    -               -         -         -         -       16B  26.491MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
2.70927s     576ns                    -               -         -         -         -        8B  13.245MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
2.70946s  1.0880us                    -               -         -         -         -  4.0000KB  3.5062GB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
2.71023s  1.6320us                    -               -         -         -         -  8.0000KB  4.6749GB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
2.71028s     544ns                    -               -         -         -         -        8B  14.025MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
2.71033s     576ns                    -               -         -         -         -        4B  6.6227MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
2.71041s  1.0880us                    -               -         -         -         -  4.0000KB  3.5062GB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
2.71046s  1.0880us                    -               -         -         -         -  4.0000KB  3.5062GB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
2.71097s     576ns                    -               -         -         -         -        8B  13.245MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
2.71110s  1.1200us                    -               -         -         -         -  4.1250KB  3.5124GB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
2.71175s  1.6640us                    -               -         -         -         -  8.2500KB  4.7283GB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
2.71180s     576ns                    -               -         -         -         -        8B  13.245MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
2.71185s     576ns                    -               -         -         -         -        8B  13.245MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
2.71189s  1.1200us                    -               -         -         -         -  4.1250KB  3.5124GB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
2.71194s  1.0880us                    -               -         -         -         -  4.1250KB  3.6157GB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
2.71246s     576ns                    -               -         -         -         -        8B  13.245MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
2.71258s  1.1200us                    -               -         -         -         -  4.1250KB  3.5124GB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
2.71314s  1.6320us                    -               -         -         -         -  8.2500KB  4.8210GB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
2.71320s     704ns                    -               -         -         -         -        8B  10.837MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
2.71324s     576ns                    -               -         -         -         -        8B  13.245MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
2.71329s  1.0880us                    -               -         -         -         -  4.1250KB  3.6157GB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
2.71333s  1.1200us                    -               -         -         -         -  4.1250KB  3.5124GB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
2.84244s  8.8960us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [535]
2.84255s  1.2160us              (5 1 1)        (64 1 1)         8        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>) [547]
2.84276s     928ns                    -               -         -         -         -        8B  8.2213MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
2.84279s  101.47us           (1056 1 1)         (1 1 1)        40        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void torch_cuda::ResampleCudaKernel<float>(unsigned int, int, unsigned int const *, unsigned int, unsigned int, unsigned int, unsigned int, float const *, float const , unsigned int const **, Boundary const *, float const *) [593]
2.84366s  8.7040us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [612]
2.84370s     928ns              (5 1 1)        (64 1 1)         8        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>) [624]
2.84385s     800ns                    -               -         -         -         -        8B  9.5367MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
2.84386s  95.615us           (1056 1 1)         (1 1 1)        40        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void torch_cuda::ResampleCudaKernel<float>(unsigned int, int, unsigned int const *, unsigned int, unsigned int, unsigned int, unsigned int, float const *, float const , unsigned int const **, Boundary const *, float const *) [670]
2.95755s  8.1600us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::semi_lagrangian_update2d$243(Array<float, int=4, C, mutable, aligned>, Array<float, int=4, C, mutable, aligned>, Array<float, int=4, C, mutable, aligned>, double, __int64) [722]
2.95819s  8.7360us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [733]
2.95828s     992ns              (4 1 1)        (64 1 1)         8        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>) [745]
2.95849s     832ns                    -               -         -         -         -        8B  9.1699MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
2.95852s  93.504us           (1024 1 1)         (1 1 1)        40        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void torch_cuda::ResampleCudaKernel<float>(unsigned int, int, unsigned int const *, unsigned int, unsigned int, unsigned int, unsigned int, float const *, float const , unsigned int const **, Boundary const *, float const *) [791]
3.04586s  4.7680us              (1 1 1)       (32 32 1)        17        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::patch_inflow2d$244(Array<float, int=4, C, mutable, aligned>, Array<float, int=4, C, mutable, aligned>, double, __int64) [831]
3.04647s  7.9040us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [842]
3.04655s  1.0240us              (5 1 1)        (64 1 1)         8        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>) [854]
3.04676s     832ns                    -               -         -         -         -        8B  9.1699MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
3.04679s  94.688us           (1056 1 1)         (1 1 1)        40        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void torch_cuda::ResampleCudaKernel<float>(unsigned int, int, unsigned int const *, unsigned int, unsigned int, unsigned int, unsigned int, float const *, float const , unsigned int const **, Boundary const *, float const *) [900]
3.04755s  7.7120us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [919]
3.04759s     928ns              (5 1 1)        (64 1 1)         8        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>) [931]
3.04773s     832ns                    -               -         -         -         -        8B  9.1699MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
3.04775s  93.855us           (1056 1 1)         (1 1 1)        40        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void torch_cuda::ResampleCudaKernel<float>(unsigned int, int, unsigned int const *, unsigned int, unsigned int, unsigned int, unsigned int, float const *, float const , unsigned int const **, Boundary const *, float const *) [977]
3.04892s  7.6160us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::semi_lagrangian_update2d$243(Array<float, int=4, C, mutable, aligned>, Array<float, int=4, C, mutable, aligned>, Array<float, int=4, C, mutable, aligned>, double, __int64) [1014]
3.04942s  7.6480us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [1025]
3.04946s     928ns              (5 1 1)        (64 1 1)         8        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>) [1037]
3.04961s     800ns                    -               -         -         -         -        8B  9.5367MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
3.04963s  94.016us           (1056 1 1)         (1 1 1)        40        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void torch_cuda::ResampleCudaKernel<float>(unsigned int, int, unsigned int const *, unsigned int, unsigned int, unsigned int, unsigned int, float const *, float const , unsigned int const **, Boundary const *, float const *) [1083]
3.05066s  7.6800us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [1114]
